,date,district,market,commodity,unit,pricetype,currency,price,standardized_price
0,2006-01-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1480.0,16.444444444444446
1,2006-01-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,33.63,33.63
2,2006-01-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3246.0,36.06666666666667
3,2006-01-15,Kitui,Kitui,Maize,KG,Retail,KES,17.0,17.0
4,2006-01-15,Kitui,Kitui,Potatoes,50 KG,Wholesale,KES,1249.99,24.9998
5,2006-01-15,Kitui,Kitui,Sorghum,90 KG,Wholesale,KES,1800.0,20.0
6,2006-01-15,Kitui,Kitui,Beans,KG,Retail,KES,39.0,39.0
7,2006-01-15,Marsabit,Marsabit,Maize,KG,Retail,KES,21.0,21.0
8,2006-01-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,15.48,15.48
9,2006-01-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1399.0,15.544444444444444
10,2006-01-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,664.43,13.288599999999999
11,2006-01-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,1960.0,21.77777777777778
12,2006-01-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,22.0,44.0
13,2006-01-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,115.0,115.0
14,2006-01-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,42.31,42.31
15,2006-01-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3175.0,35.27777777777778
16,2006-01-15,Mandera,Mandera,Maize,KG,Retail,KES,30.0,30.0
17,2006-01-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1320.0,14.666666666666668
18,2006-01-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,1074.07,21.4814
19,2006-01-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1600.0,17.77777777777778
20,2006-01-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,39.61,39.61
21,2006-01-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,4000.0,44.44444444444444
22,2006-01-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,26.0,26.0
23,2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,KG,Wholesale,KES,12.96,12.96
24,2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1192.0,13.244444444444445
25,2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,45.85,45.85
26,2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,2799.0,31.1
27,2006-02-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1523.0,16.922222222222224
28,2006-02-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,39.48,39.48
29,2006-02-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3400.0,37.77777777777778
30,2006-02-15,Kitui,Kitui,Maize,KG,Retail,KES,18.0,18.0
31,2006-02-15,Kitui,Kitui,Potatoes,50 KG,Wholesale,KES,1555.55,31.111
32,2006-02-15,Kitui,Kitui,Sorghum,90 KG,Wholesale,KES,2000.0,22.22222222222222
33,2006-02-15,Kitui,Kitui,Beans,KG,Retail,KES,42.0,42.0
34,2006-02-15,Marsabit,Marsabit,Maize,KG,Retail,KES,22.0,22.0
35,2006-02-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,16.41,16.41
36,2006-02-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1488.0,16.533333333333335
37,2006-02-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,694.44,13.888800000000002
38,2006-02-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2260.0,25.11111111111111
39,2006-02-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,25.0,50.0
40,2006-02-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
41,2006-02-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,47.1,47.1
42,2006-02-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3485.0,38.72222222222222
43,2006-02-15,Mandera,Mandera,Maize,KG,Retail,KES,29.0,29.0
